target_group,model_group,num_levels,success_count,success_rate,avg_runtime_all,avg_nodes_all,avg_runtime_success,avg_nodes_success
group_000,group_000,683,345,0.505124,172.912069,170550.153734,48.397961,57148.434783
group_000,group_001,683,329,0.481698,181.914453,177539.702782,54.850168,65830.133739
group_000,group_002,683,293,0.428990,196.512423,174690.903367,58.756809,69671.034130
group_000,group_003,683,182,0.266471,238.753510,217569.437775,70.137595,100451.950549
group_000,group_004,683,303,0.443631,190.580435,179762.395315,53.344365,58920.105611
group_000,group_005,683,322,0.471449,181.910418,178872.859444,49.511219,58229.717391
group_000,group_006,683,316,0.462665,184.759889,172449.632504,50.909414,58238.718354
group_000,group_007,683,324,0.474378,184.836701,172312.676428,57.225852,61204.314815
group_000,group_008,683,283,0.414348,199.649954,301281.417277,57.804858,102923.388693
group_000,group_009,683,297,0.434846,192.653269,200043.815520,53.134340,70450.329966
group_000,group_010,683,277,0.405564,201.909781,262939.206442,58.129333,96035.115523
group_000,group_011,683,205,0.300146,229.321558,306417.572474,64.504134,122227.673171
group_001,group_000,525,492,0.937143,31.249841,39372.131429,13.223788,18663.947154
group_001,group_001,525,491,0.935238,31.142603,38975.647619,12.525062,18278.427699
group_001,group_002,525,486,0.925714,38.007200,46769.565714,16.981849,25667.253086
group_001,group_003,525,458,0.872381,57.804239,67384.512381,22.373282,33248.722707
group_001,group_004,525,490,0.933333,32.678655,39592.720000,13.584123,18855.034694
group_001,group_005,525,492,0.937143,31.893175,41170.603810,13.910255,19863.158537
group_001,group_006,525,492,0.937143,33.379037,39063.921905,15.495795,20456.182927
group_001,group_007,525,491,0.935238,31.936542,37319.918095,13.373965,18362.661914
group_001,group_008,525,489,0.931429,33.977369,64733.457143,14.392774,30128.744376
group_001,group_009,525,485,0.923810,36.719053,47529.340952,15.004986,22645.045361
group_001,group_010,525,485,0.923810,38.443476,65605.099048,16.871675,33482.018557
group_001,group_011,525,462,0.880000,52.269284,83088.748571,18.487559,38146.917749
group_002,group_000,510,20,0.039216,291.134610,65574.345098,73.735787,22965.750000
group_002,group_001,510,13,0.025490,293.273491,64491.631373,35.760094,11661.846154
group_002,group_002,510,18,0.035294,291.887337,85807.731373,69.943514,22373.000000
group_002,group_003,510,6,0.011765,296.751259,90068.525490,23.229941,6606.166667
group_002,group_004,510,16,0.031373,292.109607,69723.782353,48.271527,17241.250000
group_002,group_005,510,16,0.031373,292.374311,80474.268627,56.709345,11466.125000
group_002,group_006,510,22,0.043137,289.698015,88404.937255,61.037446,22741.363636
group_002,group_007,510,21,0.041176,289.950939,79998.205882,55.726806,18656.523810
group_002,group_008,510,19,0.037255,290.580297,133470.368627,46.928791,18327.368421
group_002,group_009,510,14,0.027451,292.923951,91570.956863,41.953730,15586.714286
group_002,group_010,510,9,0.017647,295.370501,103424.637255,37.292999,11512.666667
group_002,group_011,510,5,0.009804,297.198552,135690.507843,13.587663,3257.600000
group_003,group_000,425,22,0.051765,287.869928,59422.865882,65.473316,48089.954545
group_003,group_001,425,17,0.040000,289.491358,63745.075294,36.978038,28566.647059
group_003,group_002,425,32,0.075294,281.339876,93276.950588,52.080504,39037.125000
group_003,group_003,425,23,0.054118,287.403745,104222.129412,67.107393,61226.173913
group_003,group_004,425,18,0.042353,289.005085,69942.868235,40.224782,31027.722222
group_003,group_005,425,32,0.075294,282.249255,84039.465882,64.152827,46244.812500
group_003,group_006,425,28,0.065882,283.969876,88778.451765,56.587698,38871.071429
group_003,group_007,425,26,0.061176,284.911156,74170.150588,53.189147,37435.038462
group_003,group_008,425,33,0.077647,279.340578,141796.684706,33.845158,28765.272727
group_003,group_009,425,39,0.091765,278.917484,91951.628235,70.183934,46943.846154
group_003,group_010,425,28,0.065882,282.234791,128704.562353,30.212232,29321.392857
group_003,group_011,425,26,0.061176,284.587108,184725.927059,47.944660,64010.730769
group_004,group_000,401,294,0.733167,98.359161,111933.563591,24.972162,40914.867347
group_004,group_001,401,287,0.715711,100.894212,119912.189526,21.806137,38866.686411
group_004,group_002,401,275,0.685786,118.973393,135178.259352,36.029359,61229.923636
group_004,group_003,401,243,0.605985,141.336201,139713.927681,38.170855,64259.259259
group_004,group_004,401,296,0.738155,101.167099,115202.645885,30.632188,47195.483108
group_004,group_005,401,294,0.733167,99.216502,109251.032419,26.135250,41627.503401
group_004,group_006,401,288,0.718204,104.088749,109761.937656,27.218438,41527.145833
group_004,group_007,401,293,0.730673,100.675539,102462.319202,27.203734,38864.160410
group_004,group_008,401,276,0.688279,111.490837,198990.104738,26.114546,58126.880435
group_004,group_009,401,286,0.713217,106.420568,124495.139651,28.580464,50192.465035
group_004,group_010,401,278,0.693267,112.434006,164957.633416,29.445459,62419.622302
group_004,group_011,401,250,0.623441,133.545127,198658.092269,33.005298,74979.988000
group_005,group_000,388,160,0.412371,197.045613,143176.291237,50.325302,55916.487500
group_005,group_001,388,150,0.386598,204.913896,144538.337629,54.039668,60168.660000
group_005,group_002,388,153,0.394330,201.511751,149437.345361,50.228438,52819.686275
group_005,group_003,388,109,0.280928,230.652367,202164.917526,53.123690,68624.055046
group_005,group_004,388,142,0.365979,209.315118,152735.829897,52.204015,60877.485915
group_005,group_005,388,152,0.391753,199.218482,154045.461340,42.737205,51848.302632
group_005,group_006,388,152,0.391753,200.793068,150388.793814,46.754457,52882.467105
group_005,group_007,388,153,0.394330,201.634444,152600.909794,50.546007,55063.620915
group_005,group_008,388,151,0.389175,198.375375,244075.628866,38.866496,77748.940397
group_005,group_009,388,156,0.402062,196.768163,156192.786082,43.227070,51540.423077
group_005,group_010,388,143,0.368557,205.569770,227096.208763,43.780040,78070.475524
group_005,group_011,388,124,0.319588,217.688886,272985.193299,42.433270,86694.330645
group_006,group_000,339,67,0.197640,251.938180,65510.168142,56.780307,17962.194030
group_006,group_001,339,59,0.174041,257.430873,69069.132743,55.350129,23113.542373
group_006,group_002,339,43,0.126844,269.618600,76017.831858,60.426180,15304.093023
group_006,group_003,339,1,0.002950,299.136706,74041.415929,4.556957,6014.000000
group_006,group_004,339,53,0.156342,263.042391,64088.946903,63.567695,16238.452830
group_006,group_005,339,49,0.144543,268.098406,78642.666667,79.253545,26305.183673
group_006,group_006,339,56,0.165192,260.254659,68926.235988,59.364398,16856.517857
group_006,group_007,339,54,0.159292,262.846182,71013.601770,66.708951,20271.944444
group_006,group_008,339,24,0.070796,282.462652,141967.882006,52.174246,28026.916667
group_006,group_009,339,40,0.117994,270.280711,78011.159292,48.079763,12967.375000
group_006,group_010,339,29,0.085546,279.189223,90354.743363,56.654333,20316.379310
group_006,group_011,339,4,0.011799,297.860885,120024.887906,118.168181,170354.500000
group_007,group_000,271,163,0.601476,134.740086,96935.579336,25.240705,27264.294479
group_007,group_001,271,157,0.579336,144.991197,100191.350554,32.434553,38842.694268
group_007,group_002,271,158,0.583026,146.365837,101634.383764,36.483285,40068.822785
group_007,group_003,271,108,0.398524,199.272611,156097.856089,47.238608,68099.898148
group_007,group_004,271,158,0.583026,144.301437,106535.623616,32.945238,34362.006329
group_007,group_005,271,170,0.627306,131.624231,94217.704797,31.587047,31647.188235
group_007,group_006,271,157,0.579336,143.777941,104403.051661,30.340611,30195.796178
group_007,group_007,271,162,0.597786,138.363534,92460.125461,29.599736,30343.148148
group_007,group_008,271,142,0.523985,158.092346,211097.594096,29.172700,54034.725352
group_007,group_009,271,155,0.571956,146.884944,117253.295203,32.293376,38343.587097
group_007,group_010,271,140,0.516605,160.096043,164936.236162,29.179604,43371.714286
group_007,group_011,271,122,0.450185,185.673518,207444.889299,46.041261,98175.860656
group_008,group_000,240,0,0.000000,300.028517,19712.925000,nan,nan
group_008,group_001,240,1,0.004167,298.789603,19795.450000,2.201826,398.000000
group_008,group_002,240,1,0.004167,298.790218,29270.508333,4.493503,299.000000
group_008,group_003,240,0,0.000000,300.025250,33538.666667,nan,nan
group_008,group_004,240,1,0.004167,298.782966,19205.866667,0.982168,75.000000
group_008,group_005,240,0,0.000000,300.021707,24766.262500,nan,nan
group_008,group_006,240,1,0.004167,298.776389,26766.091667,0.943026,43.000000
group_008,group_007,240,0,0.000000,300.023402,27155.187500,nan,nan
group_008,group_008,240,1,0.004167,298.777965,40637.641667,1.884010,101.000000
group_008,group_009,240,0,0.000000,300.020036,28744.262500,nan,nan
group_008,group_010,240,0,0.000000,300.020050,31446.675000,nan,nan
group_008,group_011,240,0,0.000000,300.017926,45426.195833,nan,nan
group_009,group_000,155,22,0.141935,265.088012,75175.090323,53.977791,26721.681818
group_009,group_001,155,18,0.116129,273.667940,75922.483871,73.180710,49873.388889
group_009,group_002,155,20,0.129032,266.088738,97391.529032,37.123717,17554.250000
group_009,group_003,155,13,0.083871,277.912349,113971.167742,36.574765,34166.923077
group_009,group_004,155,19,0.122581,269.398112,83297.941935,50.290078,35143.000000
group_009,group_005,155,22,0.141935,264.029112,84822.167742,46.525321,34938.000000
group_009,group_006,155,24,0.154839,263.307305,94822.238710,62.989954,42251.916667
group_009,group_007,155,22,0.141935,265.648066,82501.167742,57.918587,37484.500000
group_009,group_008,155,21,0.135484,265.429506,145171.490323,44.798127,32363.952381
group_009,group_009,155,16,0.103226,273.075209,91322.277419,39.073617,30441.500000
group_009,group_010,155,20,0.129032,265.899523,106022.025806,35.677504,42457.450000
group_009,group_011,155,15,0.096774,274.910107,145515.774194,40.655923,37395.066667
group_010,group_000,146,2,0.013699,297.302751,11575.417808,99.627239,4203.500000
group_010,group_001,146,1,0.006849,298.128939,12808.383562,21.373258,677.000000
group_010,group_002,146,0,0.000000,300.028889,19370.424658,nan,nan
group_010,group_003,146,0,0.000000,300.036229,20267.876712,nan,nan
group_010,group_004,146,0,0.000000,300.046541,11902.595890,nan,nan
group_010,group_005,146,0,0.000000,300.038298,16775.034247,nan,nan
group_010,group_006,146,4,0.027397,294.280762,16291.226027,90.057144,2056.000000
group_010,group_007,146,0,0.000000,300.042151,17111.924658,nan,nan
group_010,group_008,146,1,0.006849,297.997757,30245.479452,3.512164,69.000000
group_010,group_009,146,2,0.013699,297.523799,18050.116438,116.674592,4112.000000
group_010,group_010,146,0,0.000000,300.031191,21307.869863,nan,nan
group_010,group_011,146,0,0.000000,300.028027,40166.020548,nan,nan
group_011,group_000,31,5,0.161290,253.347330,18306.161290,10.493169,1179.600000
group_011,group_001,31,6,0.193548,249.604335,17165.806452,39.335062,1172.500000
group_011,group_002,31,5,0.161290,253.280422,24662.129032,9.979072,1105.000000
group_011,group_003,31,5,0.161290,253.345088,22057.451613,10.395952,1201.000000
group_011,group_004,31,5,0.161290,253.328999,21090.516129,10.465084,1181.200000
group_011,group_005,31,5,0.161290,253.309032,19274.806452,10.159274,1187.600000
group_011,group_006,31,5,0.161290,253.260419,20181.387097,9.877393,1143.400000
group_011,group_007,31,5,0.161290,253.335313,19592.709677,10.340058,1183.600000
group_011,group_008,31,6,0.193548,243.679170,21342.419355,8.839740,933.666667
group_011,group_009,31,5,0.161290,253.236030,19292.225806,9.711083,1083.000000
group_011,group_010,31,5,0.161290,253.230817,22329.548387,9.709285,1114.000000
group_011,group_011,31,5,0.161290,253.251154,31108.258065,9.960744,1125.800000
